name;soilsoiltype;soilgamdry;soilgamwet;soilphi;soilcohesion;soilcu;soilccindex;soilca;soilinitialvoidratio;soilcolor
BClay, clean, moderate;3;17.0;17.0;20.0;4.0;4.0;1.0;1.0;0.001001;10871211
BClay, clean, modstiff;3;18.0;18.0;20.0;8.0;8.0;1.0;1.0;0.001001;12837291
BClay, clean, stiff;3;19.0;19.0;20.0;15.0;15.0;1.0;1.0;0.001001;11526571
BClay, clean, weak;3;16.0;16.0;20.0;2.0;2.0;1.0;1.0;0.001001;12181931
BClay, sl san, moderate;3;17.0;17.0;22.0;4.0;4.0;1.0;1.0;0.001001;11527851
BClay, sl san, modstiff;3;18.0;18.0;22.0;8.0;8.0;1.0;1.0;0.001001;13493931
BClay, sl san, stiff;3;19.0;19.0;22.0;15.0;15.0;1.0;1.0;0.001001;12183211
BClay, sl san, weak;3;16.0;16.0;22.0;2.0;2.0;1.0;1.0;0.001001;12838571
BGravel, clean, moderate;0;18.0;20.0;35.0;0.0;0.0;1.0;1.0;0.256082;9205895
BGravel, clean, stiff;0;19.0;21.0;40.0;0.0;0.0;1.0;1.0;0.256082;9861255
BGravel, ve sil, moderate;0;19.0;21.0;32.0;0.0;0.0;1.0;1.0;0.256082;8549255
BGravel, ve sil, stiff;0;20.0;22.0;37.0;0.0;0.0;1.0;1.0;0.256082;9204615
BLoam, clean, moderate;2;18.0;18.0;22.0;2.0;2.0;1.0;1.0;0.001001;10850182
BLoam, clean, modstiff;2;19.0;19.0;22.0;4.0;4.0;1.0;1.0;0.001001;12816262
BLoam, clean, stiff;2;20.0;20.0;22.0;8.0;8.0;1.0;1.0;0.001001;11505542
BLoam, clean, weak;2;17.0;17.0;22.0;0.0;0.0;1.0;1.0;0.001001;12160902
BLoam, sl san, moderate;2;18.0;18.0;25.0;2.0;2.0;1.0;1.0;0.001001;11506822
BLoam, sl san, modstiff;2;19.0;19.0;25.0;4.0;4.0;1.0;1.0;0.001001;13472902
BLoam, sl san, stiff;2;20.0;20.0;25.0;8.0;8.0;1.0;1.0;0.001001;12162182
BLoam, sl san, weak;2;17.0;17.0;25.0;0.0;0.0;1.0;1.0;0.001001;12817542
BPeat, sl san, moderate;4;12.0;12.0;15.0;5.0;5.0;1.0;1.0;0.001001;3418799
BPeat, sl san, stiff;4;14.0;14.0;15.0;10.0;10.0;1.0;1.0;0.001001;4074159
BPeat, sl san, weak;4;10.0;10.0;15.0;2.0;2.0;1.0;1.0;0.001001;4729519
BSand, clean, loose;1;16.0;18.0;27.0;0.0;0.0;1.0;1.0;0.256082;1368569
BSand, clean, moderate;1;17.0;19.0;30.0;0.0;0.0;1.0;1.0;0.256082;2023929
BSand, clean, stiff;1;18.0;20.0;35.0;0.0;0.0;1.0;1.0;0.256082;2679289
BSand, ve sil, loose;1;16.0;18.0;25.0;0.0;0.0;1.0;1.0;0.256082;711929
BSand, ve sil, moderate;1;17.0;19.0;27.0;0.0;0.0;1.0;1.0;0.256082;1367289
BSand, ve sil, stiff;1;18.0;20.0;30.0;0.0;0.0;1.0;1.0;0.256082;2022649
Clay, clean, moderate;3;17.0;17.0;17.5;5.0;50.0;0.1535;0.0061;0.001001;10871201
Clay, clean, stiff;3;19.0;19.0;17.5;13.0;100.0;0.0921;0.0037;0.001001;11526561
Clay, clean, weak;3;14.0;14.0;17.5;0.0;25.0;0.3289;0.0131;0.001001;12181921
Clay, organ, moderate;3;15.0;15.0;15.0;0.0;25.0;0.2302;0.0115;0.001001;12841121
Clay, organ, weak;3;13.0;13.0;15.0;0.0;10.0;0.307;0.0153;0.001001;14151841
Clay, sl san, moderate;3;18.0;18.0;22.5;5.0;80.0;0.1151;0.0046;0.001001;11527841
Clay, sl san, stiff;3;20.0;20.0;22.5;13.0;120.0;0.0768;0.0031;0.001001;12183201
Clay, sl san, weak;3;15.0;15.0;22.5;0.0;40.0;0.2302;0.0092;0.001001;12838561
Clay, ve san, stiff;3;18.0;18.0;27.5;0.0;0.0;0.0921;0.0037;0.001001;12839841
Gravel, sl sil, loose;0;17.0;19.0;32.5;0.0;0.0;0.0058;0.0;0.256082;7237245
Gravel, sl sil, moderate;0;18.0;20.0;35.0;0.0;0.0;0.0029;0.0;0.256082;7892605
Gravel, sl sil, stiff;0;19.0;21.0;37.5;0.0;0.0;0.0024;0.0;0.256082;8547965
Gravel, ve sil, loose;0;18.0;20.0;30.0;0.0;0.0;0.0073;0.0;0.256082;7893885
Gravel, ve sil, moderate;0;19.0;21.0;32.5;0.0;0.0;0.0048;0.0;0.256082;8549245
Gravel, ve sil, stiff;0;20.0;22.0;35.0;0.0;0.0;0.0029;0.0;0.180505;9204605
Loam, sl san, moderate;2;20.0;20.0;27.5;1.0;100.0;0.0512;0.002;0.001001;11506812
Loam, sl san, stiff;2;21.0;21.0;27.5;2.5;200.0;0.0329;0.0013;0.001001;12162172
Loam, sl san, weak;2;19.0;19.0;27.5;0.0;50.0;0.0921;0.0037;0.001001;12817532
Loam, ve san, stiff;2;19.0;19.0;27.5;0.0;50.0;0.0512;0.002;0.001001;12818812
Peat, mod pl, moderate;4;12.0;12.0;15.0;2.5;20.0;0.307;0.0153;0.001001;6045349
Peat, not pl, weak;4;10.0;10.0;15.0;1.0;10.0;0.4605;0.023;0.001001;6699429
Sand, clean, loose;1;17.0;19.0;30.0;0.0;0.0;0.0144;0.0;0.256082;1368559
Sand, clean, moderate;1;18.0;20.0;32.5;0.0;0.0;0.0048;0.0;0.256082;2023919
Sand, clean, stiff;1;19.0;21.0;35.0;0.0;0.0;0.0029;0.0;0.256082;2679279
Sand, sl sil, moderate;1;18.0;20.0;27.0;0.0;0.0;0.0064;0.0;0.256082;710639
Sand, ve sil, loose;1;18.0;20.0;25.0;0.0;0.0;0.0144;0.0;0.256082;711919
Undetermined;2;0.01;0.02;0.0;0.0;0.0;1.0;1.0;0.0;16777215
